 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2012
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350830 CABRALIA PAULISTA";-;-;-;-;-;-;-;-;-;-;1;-;1
"350840 CABREUVA";6;7;11;6;5;6;11;9;11;7;7;6;92
"350850 CACAPAVA";19;14;24;23;18;33;19;20;24;26;11;22;253
"350860 CACHOEIRA PAULISTA";7;5;4;9;10;9;8;12;8;5;4;9;90
"350870 CACONDE";7;6;6;6;5;4;10;3;7;8;5;2;69
"350880 CAFELANDIA";3;6;6;4;5;9;8;7;2;4;8;2;64
"350890 CAIABU";-;-;-;-;-;1;1;1;1;-;1;-;5
"350900 CAIEIRAS";15;18;35;19;18;20;28;21;27;22;20;17;260
"350910 CAIUA";1;-;1;1;-;-;-;-;-;2;-;-;5
"350920 CAJAMAR";9;15;18;17;20;15;14;19;14;12;10;11;174
"350925 CAJATI";4;7;3;6;5;3;3;2;10;4;6;5;58
"350930 CAJOBI";1;2;3;1;6;2;-;2;1;-;1;2;21
"350940 CAJURU";11;5;4;5;4;6;7;4;8;4;8;5;71
"350945 CAMPINA DO MONTE ALEGRE";-;1;2;-;2;-;-;-;-;1;-;1;7
"350950 CAMPINAS";411;420;424;412;491;516;548;502;490;445;416;445;5520
"350960 CAMPO LIMPO PAULISTA";15;10;22;18;19;21;19;18;17;25;18;16;218
"350970 CAMPOS DO JORDAO";25;12;16;25;24;24;34;24;18;24;20;21;267
"350980 CAMPOS NOVOS PAULISTA";-;1;1;1;-;-;1;1;1;2;-;1;9
"350990 CANANEIA";-;-;1;-;1;1;-;1;1;1;1;2;9
"350995 CANAS";-;1;-;-;-;-;-;3;-;-;3;-;7
"351000 CANDIDO MOTA";7;6;7;3;6;18;9;8;6;10;7;8;95
"351010 CANDIDO RODRIGUES";-;-;1;-;-;-;-;-;1;1;-;-;3
"351015 CANITAR";-;-;1;-;-;-;2;-;-;-;-;-;3
"351020 CAPAO BONITO";13;21;21;17;16;25;30;33;16;23;19;25;259
"351030 CAPELA DO ALTO";1;1;2;1;4;5;5;3;3;3;1;-;29
"351040 CAPIVARI";20;20;8;15;19;23;31;18;11;20;16;20;221
"351050 CARAGUATATUBA";26;28;21;30;32;32;34;24;25;32;26;32;342
"351060 CARAPICUIBA";78;69;77;58;102;74;87;85;61;90;71;83;935
"351070 CARDOSO";5;3;1;1;4;1;4;1;2;7;3;7;39
"351080 CASA BRANCA";8;10;16;10;16;16;16;12;15;10;12;9;150
